,Instrument,Company Common Name,ESG Coverage Flag,Region of Headquarters,TRBC Economic Sector Name
8834,3284.T,Hoosiers Holdings Co Ltd,True,Asia,Real Estate
8835,ACST.JK,Acset Indonusa Tbk PT,True,Asia,Industrials
8836,MC.BK,MC Group PCL,True,Asia,Consumer Cyclicals
8837,ADEN.NS,Advanced Enzyme Technologies Ltd,True,Asia,Basic Materials
8838,ASIA.SI,Asian Pay Television Trust,True,Asia,Consumer Cyclicals
8839,THREL.BK,Thaire Life Assurance PCL,True,Asia,Financials
8840,3380.HK,Logan Group Co Ltd,True,Asia,Real Estate
8841,NYT.BK,Namyong Terminal PCL,True,Asia,Industrials
8842,8150.TW,ChipMOS Technologies Inc,True,Asia,Technology
8843,LITB.N,LightInTheBox Holding Co Ltd,True,Asia,Consumer Cyclicals
8844,603927.SS,Sinosoft Co Ltd,True,Asia,Technology
8845,KANG.KL,Kanger International Bhd,True,Asia,Basic Materials
8846,3287.T,Hoshino Resorts REIT Inc,True,Asia,Real Estate
8847,SUTHA.BK,Golden Lime PCL,True,Asia,Basic Materials
8848,4587.T,PeptiDream Inc,True,Asia,Healthcare
8849,MATR.KL,Matrix Concepts Holdings Bhd,True,Asia,Real Estate
8850,2386.HK,Sinopec Engineering Group Co Ltd,True,Asia,Industrials
8851,LEON.KL,Leon Fuat Bhd,True,Asia,Basic Materials
8852,IOIP.KL,IOI Properties Group Bhd,True,Asia,Real Estate
8853,LITm.BK,Lease IT PCL,True,Asia,Financials
